artists/external_urls/spotify,artists/followers/href,artists/followers/total,artists/genres/0,artists/genres/1,artists/genres/2,artists/genres/3,artists/genres/4,artists/genres/5,artists/genres/6,artists/href,artists/id,artists/images/0/height,artists/images/0/url,artists/images/0/width,artists/images/1/height,artists/images/1/url,artists/images/1/width,artists/images/2/height,artists/images/2/url,artists/images/2/width,artists/name,artists/popularity,artists/type,artists/uri,artists/images/3/height,artists/images/3/url,artists/images/3/width,artists/genres/7
https://open.spotify.com/artist/7o95ZoZt5ZYn31e9z1Hc0a,,1205381,dance pop,europop,neo mellow,pop,pop rap,pop rock,post-teen pop,https://api.spotify.com/v1/artists/7o95ZoZt5ZYn31e9z1Hc0a,7o95ZoZt5ZYn31e9z1Hc0a,640,https://i.scdn.co/image/980befa9b0f49cfdf4eb9a4b891039d26a35afda,640,320,https://i.scdn.co/image/337782cccd4e89029611b4c8f32f9af765273aed,320,160,https://i.scdn.co/image/1f97c8af4ee251970b19ec7cc1b6d8cb80e9bb6f,160,Natasha Bedingfield,70,artist,spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a,,,,
https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp,,19568923,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/6S2OmqARrzebs0tKUEyXyp,6S2OmqARrzebs0tKUEyXyp,640,https://i.scdn.co/image/9a0055f65c4f9e6d58dd480ecf6ecc7ecfb2e90a,640,320,https://i.scdn.co/image/781d06e6535817d37b0f0d28c40a79a6e67d7f96,320,160,https://i.scdn.co/image/1814f3dd6934c7b472907e679a6bac01aaaf3903,160,Demi Lovato,89,artist,spotify:artist:6S2OmqARrzebs0tKUEyXyp,,,,
https://open.spotify.com/artist/2S9W9aSAd7e5mp8WqWxN2h,,1818336,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/2S9W9aSAd7e5mp8WqWxN2h,2S9W9aSAd7e5mp8WqWxN2h,563,https://i.scdn.co/image/2b46c43a2c8d3af23f3183299c2070c2d42ad039,1000,360,https://i.scdn.co/image/df2f2f41ff8aa1f1d24c12a5e0c96fd66b3a975e,640,113,https://i.scdn.co/image/d08392366ca41c605b91c88d933925932a007a92,200,Hilary Duff,60,artist,spotify:artist:2S9W9aSAd7e5mp8WqWxN2h,36,https://i.scdn.co/image/39b33c98173f680cb6c2a4eea3d7e8823017fb2f,64,
https://open.spotify.com/artist/7nU4hB040gTmHm45YYMvqc,,3340223,dance pop,pop,post-teen pop,social media pop,,,,https://api.spotify.com/v1/artists/7nU4hB040gTmHm45YYMvqc,7nU4hB040gTmHm45YYMvqc,1096,https://i.scdn.co/image/1bb652996764243c1d963008898de2ab514b4796,822,853,https://i.scdn.co/image/0f08574233467fe4e5ffb889ece10b9c0868610e,640,267,https://i.scdn.co/image/21dafec9d875038f5d2dbaa842ef37422a84b3aa,200,Hannah Montana,69,artist,spotify:artist:7nU4hB040gTmHm45YYMvqc,85,https://i.scdn.co/image/473d0d85a8aae2366ec20819419462487a190152,64,
https://open.spotify.com/artist/4m4SfDVbF5wxrwEjDKgi4k,,2345499,dance pop,electropop,pop,post-teen pop,social media pop,talent show,viral pop,https://api.spotify.com/v1/artists/4m4SfDVbF5wxrwEjDKgi4k,4m4SfDVbF5wxrwEjDKgi4k,640,https://i.scdn.co/image/2f79bd36afff7e517a3011e719f4a34e909f60d6,640,320,https://i.scdn.co/image/cd6494bc3819270d30806af8ea3927a492480864,320,160,https://i.scdn.co/image/8903dfd9a575921009ef5c677b8c7e9a8d2a03f8,160,Cher Lloyd,67,artist,spotify:artist:4m4SfDVbF5wxrwEjDKgi4k,,,,
https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,,14805076,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,640,https://i.scdn.co/image/f040656afb8bc16cd44781dd39ea3d02184f5c0f,640,320,https://i.scdn.co/image/8d15c82eaf82ee38af11c2d755293ba6fb2ea036,320,160,https://i.scdn.co/image/8a303968e21579c92c2c1e9c811e0578c401423e,160,Miley Cyrus,88,artist,spotify:artist:5YGY8feqx7naU7z4HrwZM6,,,,
https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,,8895247,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,640,https://i.scdn.co/image/88b5417c1aef3bbdff1889714136deb5ea310ab8,640,320,https://i.scdn.co/image/8bafec3ea590b2b4d5b25b01e8adb49bac451929,320,160,https://i.scdn.co/image/e78a6b30e56481315a4c37c8da8bc195ba2613dc,160,Britney Spears,85,artist,spotify:artist:26dSoYclwsYLMAKD3tpOr4,,,,
https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD,,5158107,boy band,dance pop,pop,pop rock,post-teen pop,,,https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD,7gOdHgIoIKoe4i9Tta6qdD,640,https://i.scdn.co/image/81415a47bf49148ed333cba4765551f4da5d7d30,640,320,https://i.scdn.co/image/6d1d65eef0d6726f6b2f3264a7d597c83d1ff1bc,320,160,https://i.scdn.co/image/25de8d7196ae80ff57aafbb630544e029dcff2bc,160,Jonas Brothers,80,artist,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,,,,
https://open.spotify.com/artist/0SCbttzoZTnLFebDYmAWCm,,1373780,glee club,hollywood,post-teen pop,,,,,https://api.spotify.com/v1/artists/0SCbttzoZTnLFebDYmAWCm,0SCbttzoZTnLFebDYmAWCm,450,https://i.scdn.co/image/5b5a95f260ac429405e871777e3c17c9126c30ad,600,150,https://i.scdn.co/image/446aee35047292c4ba3e57e83ef97e6a9ffea669,200,48,https://i.scdn.co/image/ba0a93f82502495617bc233f726b0debed5c43d9,64,Glee Cast,79,artist,spotify:artist:0SCbttzoZTnLFebDYmAWCm,,,,
https://open.spotify.com/artist/2AQjGvtT0pFYfxR3neFcvz,,1738647,dance pop,pop,pop rap,pop rock,post-teen pop,r&b,urban contemporary,https://api.spotify.com/v1/artists/2AQjGvtT0pFYfxR3neFcvz,2AQjGvtT0pFYfxR3neFcvz,640,https://i.scdn.co/image/67c0578bd64b4634e0d3f07c1c4e3772d138cf9d,640,320,https://i.scdn.co/image/2b449bc53fb898b9035c31c7842c0f3b4fa6fd66,320,160,https://i.scdn.co/image/e4e6c4dd812b8c720ea077505938f7e5a0f52809,160,Jordin Sparks,67,artist,spotify:artist:2AQjGvtT0pFYfxR3neFcvz,,,,viral pop
,,,,,,,,,,,,,,,,,,,,,Katy Perry,87,,,,,,
